"","Type","Region","Admit.rate","X4.yr.grad.rate","Total.cost.per.yr.","Avg.need.based.aid","Avg.non.need.based.aid","X..of.non.need.based.aid","Avg.debt.at.graduation","Salary"
"45","Liberal Arts","MA",40,78,241,40315,14533,35,23081,53100
"46","Private","MW",19,90,242,37390,12919,9,28406,71600
"47","Liberal Arts","W/SW",51,83,206,32952,10314,53,18089,46600
"48","Liberal Arts","MW",27,89,247,39897,16799,21,26746,44300
"49","Liberal Arts","MW",79,82,94,20622,6343,46,27354,45200
"50","Liberal Arts","NE",19,84,243,43906,9595,3,27953,55000
"51","Private","MA",17,90,279,40252,0,0,23412,90100
"52","Public","SE/MS",30,88,189,20980,5966,6,24598,60700
"53","Liberal Arts","W/SW",14,83,278,40447,6187,2,21569,47100
"54","Liberal Arts","NE",23,84,245,41478,0,0,22845,55700
"55","Private","NE",14,87,271,41366,500,2,24267,66500
"56","Private","MW",11,84,291,39409,4006,7,20308,65900
"57","Liberal Arts","MA",29,85,263,45724,0,0,21427,61300
"58","Private","W/SW",51,29,1,4874,4338,38,15158,56800
"59","Liberal Arts","W/SW",13,85,296,39799,11822,41,25412,74200
"60","Liberal Arts","MA",28,85,246,40285,27358,12,29324,67500
"61","Liberal Arts","MW",45,85,178,30463,14942,61,27945,47300
"62","Liberal Arts","W/SW",9,86,289,42445,15744,10,23375,75000
"63","Public","SE/MS",58,61,25,9000,3831,22,23679,44900
"64","Public","W/SW",17,76,182,17232,9390,9,18789,61800
"65","Public","MA",41,71,60,8667,7250,6,25718,59200
"66","Public","SE/MS",46,47,58,10004,5995,8,21507,49300
"67","Private","MA",51,71,160,29733,22180,54,23550,55900
"68","Liberal Arts","MW",37,84,225,37392,13752,36,23875,45300
"69","Liberal Arts","NE",52,78,202,32773,24244,37,23872,46100
"70","Liberal Arts","SE/MS",54,77,183,31002,22703,88,25859,49600
"71","Public","MW",68,57,4,7636,5812,56,24811,43700
"72","Private","MA",26,77,222,37699,12914,8,34215,77200
"73","Public","SE/MS",37,85,167,15892,6288,10,26400,55400
"74","Public","MW",44,61,45,10140,4836,10,26644,49800
"76","Public","SE/MS",54,63,72,9116,2418,7,21730,48500
"77","Liberal Arts","MA",30,84,251,28900,11817,18,22600,66200
"78","Liberal Arts","SE/MS",44,79,184,27341,12275,65,24431,40600
"80","Liberal Arts","MW",65,78,194,34859,17350,91,22770,50700
"81","Private","W/SW",27,69,162,28826,19042,85,38605,54600
"82","Liberal Arts","W/SW",30,80,286,37361,10993,5,20205,49700
"83","Public","W/SW",17,77,292,35011,19665,29,27882,70400
"84","Private","W/SW",18,74,180,19577,5000,7,21323,58700
"85","Private","SE/MS",30,84,254,43165,12582,12,33797,60200
"86","Public","W/SW",29,48,39,3524,1890,19,22413,63100
"87","Liberal Arts","MA",36,84,274,42719,6820,3,27133,53600
"88","Public","W/SW",23,19,11,5662,6659,52,20759,52900
"89","Public","MW",29,76,186,17673,7442,22,25712,60100
"90","Liberal Arts","MA",43,81,239,37817,10918,36,26908,54800
"91","Public","MA",48,69,105,9444,6671,19,27559,61700
"92","Liberal Arts","MW",44,79,211,34576,20710,96,28833,48400
"93","Liberal Arts","MA",29,85,250,40300,12800,1,25001,47100
"94","Private","MA",38,74,264,39246,13597,56,30742,57500
"95","Liberal Arts","SE/MS",33,48,285,4949,0,0,7062,31800
